series_id,provider,provider_code,country,frequency,group,label,unit,publication_delay_days,need_sa,transform,active,notes,concept
inei_spread_bancario_me,inei,spread_bancario_me,PE,M,INEI flash,spread_bancario_me,,,,,0.0,,
inei_spread_bancario_mn,inei,spread_bancario_mn,PE,M,INEI flash,spread_bancario_mn,,,,,0.0,,
inei_tasas_interes_me,inei,tasas_interes_me,PE,M,INEI flash,tasas_interes_me,,,,,0.0,,
inei_tasas_interes_mn,inei,tasas_interes_mn,PE,M,INEI flash,tasas_interes_mn,,,,,0.0,,
inei_tipo_cambio,inei,tipo_cambio,PE,M,INEI flash,tipo_cambio,,,,,0.0,,
inei_tributos_aduaneros,inei,tributos_aduaneros,PE,M,INEI flash,tributos_aduaneros,,,,,0.0,,
inei_turismo_arribos,inei,turismo_arribos,PE,M,INEI flash,turismo_arribos,,,,,0.0,,
inei_unknown,inei,unknown,PE,M,INEI flash,unknown,,,,,0.0,,
inei_venta_vehiculos,inei,venta_vehiculos,PE,M,INEI flash,venta_vehiculos,Index,31.0,1.0,,1.0,,
grain_output,nbs,grain_output,CN,A,China,Grain output,万吨,,,,1.0,portal_macro,grain_output
cpi_yoy,nbs,cpi_yoy,CN,M,China,"Headline CPI index, same month last year equals 100",上年同月=100,,,,1.0,portal_stream,cpi_yoy
electricity_output_yoy,nbs,electricity_output_yoy,CN,M,China,"Electricity output, current-month year-on-year growth",%,,,,1.0,portal_stream,electricity_output_yoy
fixed_asset_investment_yoy,nbs,fixed_asset_investment_yoy,CN,M,China,"Fixed-asset investment, cumulative (year-to-date) year-on-year growth",%,,,,1.0,portal_stream,fixed_asset_investment_yoy
industrial_value_added_cum_yoy,nbs,industrial_value_added_cum_yoy,CN,M,China,"Industrial value added growth, cumulative year-on-year",%,,,,1.0,portal_stream,industrial_value_added_cum_yoy
industrial_value_added_yoy,nbs,industrial_value_added_yoy,CN,M,China,"Industrial value added growth, current month year-on-year",%,,,,1.0,portal_stream,industrial_value_added_yoy
m2_yoy,nbs,m2_yoy,CN,M,China,"Broad money (M2) supply, year-on-year growth",%,,,,1.0,portal_stream,m2_yoy
manufacturing_pmi,nbs,manufacturing_pmi,CN,M,China,Official manufacturing PMI,index,,,,1.0,portal_stream,manufacturing_pmi
non_manufacturing_pmi,nbs,non_manufacturing_pmi,CN,M,China,"Official non-manufacturing (services) PMI, business activity index",index,,,,1.0,portal_stream,non_manufacturing_pmi
oecd_business_confidence,nbs,oecd_business_confidence,CN,M,China,"Composite business confidence (OECD, PMI-style proxy)",percentage balance,,,,1.0,oecd_sdmx,business_confidence
oecd_consumer_confidence,nbs,oecd_consumer_confidence,CN,M,China,Composite consumer confidence (OECD),percentage balance,,,,1.0,oecd_sdmx,consumer_confidence
oecd_cpi_yoy,nbs,oecd_cpi_yoy,CN,M,China,"Consumer price inflation, year-on-year (OECD)",%,,,,1.0,oecd_sdmx,cpi_yoy
oecd_exports_yoy,nbs,oecd_exports_yoy,CN,M,China,"Merchandise exports growth, year-on-year (OECD)",%,,,,1.0,oecd_sdmx,exports_yoy
oecd_gdp_monthly_ref,nbs,oecd_gdp_monthly_ref,CN,M,China,Monthly GDP reference series (OECD),index,,,,1.0,oecd_sdmx,gdp_monthly_ref
oecd_imports_yoy,nbs,oecd_imports_yoy,CN,M,China,"Merchandise imports growth, year-on-year (OECD)",%,,,,1.0,oecd_sdmx,imports_yoy
oecd_leading_indicator,nbs,oecd_leading_indicator,CN,M,China,Composite Leading Indicator (OECD),index (100=trend),,,,1.0,oecd_sdmx,leading_indicator
ppi_yoy,nbs,ppi_yoy,CN,M,China,"Headline PPI index, same month last year equals 100",上年同月=100,,,,1.0,portal_stream,ppi_yoy
property_sales_floor_cum_yoy,nbs,property_sales_floor_cum_yoy,CN,M,China,"New commercial-building sales floor space, cumulative year-on-year growth",%,,,,1.0,portal_stream,property_sales_floor_cum_yoy
real_estate_investment_cum_yoy,nbs,real_estate_investment_cum_yoy,CN,M,China,"Real estate development investment, cumulative year-on-year growth",%,,,,1.0,portal_stream,real_estate_investment_cum_yoy
retail_sales_nominal,nbs,retail_sales_nominal,CN,M,China,"Retail sales of consumer goods, nominal level",亿元,,,,1.0,portal_macro,retail_sales_nominal
retail_sales_yoy,nbs,retail_sales_yoy,CN,M,China,"Retail sales of consumer goods, current-month year-on-year growth",%,,,,1.0,portal_stream,retail_sales_yoy
gdp_current_price,nbs,gdp_current_price,CN,Q,China,Quarterly GDP at current prices,亿元,,,,1.0,portal_macro,gdp_current_price
gdp_real_qoq_sa,nbs,gdp_real_qoq_sa,CN,Q,China,"Real GDP growth, quarter-on-quarter, seasonally adjusted",%,,,,1.0,gdp_release,gdp_real_qoq_sa
gdp_real_yoy,nbs,gdp_real_yoy,CN,Q,China,"Real GDP growth, year-on-year",%,,,,1.0,gdp_release,gdp_real_yoy
gdp_real_yoy_offline,nbs,gdp_real_yoy_offline,CN,Q,China,"Real GDP growth, year-on-year (offline snapshot)",%,,,,1.0,frozen_csv,gdp_real_yoy
oecd_gdp_real_qoq_sa,nbs,oecd_gdp_real_qoq_sa,CN,Q,China,"Real GDP growth, quarter-on-quarter, seasonally adjusted (OECD)",%,,,,1.0,oecd_sdmx,gdp_real_qoq_sa
oecd_gdp_real_yoy,nbs,oecd_gdp_real_yoy,CN,Q,China,"Real GDP growth, year-on-year (OECD)",%,,,,1.0,oecd_sdmx,gdp_real_yoy
us_gdpnow,fred,GDPNOW,US,Q,US consensus,Atlanta Fed GDPNow,% qoq saar,0.0,0.0,none,1.0,US external block (sources/us.py),
us_gdp_level,fred,GDPC1,US,Q,US activity,US real GDP level,Bil chn 2017$,30.0,0.0,none,1.0,US external block (sources/us.py),
us_unrate,fred,UNRATE,US,M,US activity,US unemployment rate,%,7.0,0.0,none,1.0,US external block (sources/us.py),
us_curve_10y3m,fred,T10Y3M,US,M,US activity,US yield-curve slope 10y-3m,pp,1.0,0.0,none,1.0,US external block (sources/us.py),
us_dollar_broad,fred,DTWEXBGS,US,M,US activity,US broad dollar index,index,1.0,0.0,none,1.0,US external block (sources/us.py),
us_nfci,fred,NFCI,US,M,US activity,Chicago Fed NFCI,index,7.0,0.0,none,1.0,US external block (sources/us.py),
